"מזהה","שם","מצב","שם באנגלית"
"1","צו יבוא חופשי","1","Free Import Order"
"2","חוק חומרים מסוכנים","1","Hazardous Substances Law"
"3","צו מתן רישיונות יבוא","1","Import licenses order"
"4","פקודת המסחר עם האויב","1","Prohibition of Trading with Enemy States Act"
"5","צו הפיקוח על יהלומים, יבואם ויצואם תשל""ט 1979","1","Diamond Supervision Order, Import and Export 1979"
"6","כללי","1","General"
"7","תעריף המכס","1","Customs tariff"
"8","צו יצוא חופשי","1","Free Export Order"
"9","חוק חומרים מסוכנים","1","Hazardous Substances Law"
"10","צו מתן רישיונות יצוא","1","Export licenses order"
"11","פקודת המסחר עם האויב","1","Prohibition of Trading with Enemy States Act"
"12","צו יצוא יהלומים ואחזקתם","1","Export and Handling of Diamonds Order"
"13","חוק הפיקוח על היצוא הבטחוני","1","Defense Export Control Law"
"15","כללי","1","General"
"16","צו אלוף","1","Military order"
"17","חוק יישום הסכם רצועת עזה ואזור יריחו-הסדרים כלכליים-1994","1","Agreement Implementation Act Gaza Strip and the Jericho Area-economic arrangements -1994"
"18","צו המכס (איסור יבוא) התשס""ה","1","Customs Ordinance (import prohibition order) 2005"
"19","חוק הנפט","1","Petroleum law"
"20","צו יבוא אישי","1","personal import order"
"21","צו היבוא והיצוא (פיקוח על יצוא טובין, שירותים וטכנולוגיה דו-שימושיים)","1","(Import and Export order (Supervision of exports of goods, services and dual-use technology"
"22","צו היבוא והיצוא (פיקוח על יצוא בתחום הכימי, הביולוגי והגרעיני)","1","(Import and Export order (Export control in the chemical, biological and nuclear fields"