"מזהה","שם","מצב","מזהה פנימי של סוג ספר מכס","קבוצת מדינות","תאריך התחלה","תאריך סיום"
"101","A1","1","3","ארצות ערב","2001-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"102","A1JE","1","3","ירדן מצרים","2001-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"103","A2","1","3","כל העולם","2001-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"119","QIZ ירדן","1","2","ירדן","1997-11-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"120","QIZ מצרים","1","2","מצרים","2005-02-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"18","WTO","1","1","כללי (WTO)","2010-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"109","אוקראינה","1","1","אוקראינה","2021-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"123","אוקראינה","1","2","אוקראינה","2021-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"20","אורוגוואי -- מרקוסור","1","1","אורוגוואי","2010-06-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"17","איחוד","1","1","איחוד","2010-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"113","איחוד אירופי","1","2","איחוד","2006-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"7","אפט""א","1","1","אפט""א","1990-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"112","אפט""א","1","2","אפט""א","2006-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"22","ארגנטינה -- מרקוסור","1","1","ארגנטינה","2011-09-09T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"3","ארה""ב","1","1","ארה""ב","1990-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"110","ארה""ב","1","2","ארה""ב","1985-09-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"4","ארצות ערב","1","3","ארצות ערב","1995-01-01T00:00:00+02:00","2016-01-17T00:00:00+02:00"
"16","בולגריה","1","1","בולגריה","2002-07-01T00:00:00+03:00","2007-01-01T00:00:00+02:00"
"19","ברזיל -- מרקוסור","1","1","ברזיל","2010-06-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"106","בריטניה (הממלכה המאוחדת)","1","1","בריטניה","2021-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"11","הונגריה","1","1","הונגריה","1998-02-01T00:00:00+02:00","2004-05-01T00:00:00+03:00"
"125","הממלכה המאוחדת","1","2","בריטניה","2021-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"105","הסכם פנמה","1","1","פנמה","2017-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"114","טורקיה","1","2","טורקיה","2006-03-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"8","טורקיה","1","1","טורקיה","1997-05-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"5","ירדן","1","1","ירדן","1996-04-19T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"115","ירדן בילטרלי","1","2","ירדן","2006-02-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"14","מקסיקו","1","1","מקסיקו","2000-07-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"117","מקסיקו","1","2","מקסיקו","2000-09-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"118","מרקוסור","1","2","מרקוסור","2010-07-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"13","סלובניה","1","1","סלובניה","1998-09-01T00:00:00+03:00","2004-05-01T00:00:00+03:00"
"10","סלובקיה","1","1","סלובקיה","1997-01-01T00:00:00+02:00","2004-05-01T00:00:00+03:00"
"12","פולין","1","1","פולין","1998-03-01T00:00:00+02:00","2004-05-01T00:00:00+03:00"
"121","פנמה","1","2","פנמה","2020-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"21","פרגוואי -- מרקוסור","1","1","פרגוואי","2010-06-01T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"9","צ'כיה","1","1","צכיה","1997-01-01T00:00:00+02:00","2004-05-01T00:00:00+03:00"
"2","קהיליה (איחוד מכסה)","1","1","איחוד","1990-01-01T00:00:00+02:00","2009-12-31T00:00:00+02:00"
"108","קולומביה","1","1","קולומביה","2020-08-11T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"122","קולומביה","1","2","קולומביה","2020-08-11T00:00:00+03:00","2069-12-31T00:00:00+02:00"
"116","קנדה","1","2","קנדה","1997-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"6","קנדה","1","1","קנדה","1997-01-01T00:00:00+02:00","2069-12-31T00:00:00+02:00"
"15","רומניה","1","1","רומניה","2001-07-01T00:00:00+03:00","2007-01-01T00:00:00+02:00"