"מזהה","כותרת","קיצור שם הסכם","סוג ספר מכס","מזהה קבוצת מדינות"
"3","ארה""ב","USA","1","3"
"5","ירדן","JOR","1","5"
"6","קנדה","CAN","1","6"
"7","אפט""א","EFTA","1","7"
"8","טורקיה","TUR","1","8"
"14","מקסיקו","MEX","1","14"
"17","איחוד","EU","1","2"
"18","WTO","WTO","1","1"
"19","ברזיל -- מרקוסור","MERC-BR","1","19"
"20","אורוגוואי -- מרקוסור","MERC-UY","1","20"
"21","פרגוואי -- מרקוסור","MERC-PY","1","21"
"22","ארגנטינה -- מרקוסור","MERC-AR","1","22"
"101","A1","A1","3","4"
"102","A1JE","A1JE","3","30"
"103","A2","A2","3","27"
"105","הסכם פנמה","PAN","1","55"
"106","בריטניה (הממלכה המאוחדת)","UK","1","57"
"108","קולומביה","COLOM","1","58"
"109","אוקראינה","UKRAIN","1","56"
"110","ארה""ב","USA","2","3"
"112","אפט""א","EFTA","2","7"
"113","איחוד אירופי","EU","2","2"
"114","טורקיה","TRK","2","8"
"115","ירדן בילטרלי","JOR","2","5"
"116","קנדה","CAN","2","6"
"117","מקסיקו","MEX","2","14"
"118","מרקוסור","MERC","2","29"
"119","QIZ ירדן","QIZ-J","2","5"
"120","QIZ מצרים","QIZ-E","2","50"
"121","פנמה","PAN","2","55"
"122","קולומביה","COL","2","58"
"123","אוקראינה","UKR","2","56"
"125","הממלכה המאוחדת","GB","2","57"